Razão Social,Nome Fantasia,CNPJ,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cluster
ARTE TELECOM,TIETE PLAZA SHOPPING,,"AV RAIMUNDO PEREIRA DE MAGALHAES, 1465, LOJA 1079 A PISO TERREO CEP: 05145-000, PIRITUBA, SAO PAULO (SP)",,,,SÃO PAULO,SP,Cluster C
ALLIED,TIJUCA SHOPPING,,"AV MARACANA, 987 - LOJA 17 E 18 - CEP: 20511-000 - TIJUCA - RIO DE JANEIRO (RJ)",,,,RIO DE JANEIRO,RJ,Cluster A
ARTE TELECOM,TIVOLI SHOPPING,,"AV. SANTA BARBARA, 777 - QUIOSQ: MIK 711;",,,,SANTA BARBARA D´OESTE,SP,Cluster C
ARTE TELECOM,TOP CENTER SHOPPING,,"AV. PAULISTA, 854 - BELA VISTA, SÃO PAULO/SP - PISO TÉRREO - PONTO Q03",,,,SÃO PAULO,SP,Cluster C
ALLIED,TOP SHOPPING,,"AV. GOV. ROBERTO SILVEIRA, 540 - CENTRO",,,,NOVA IGUAÇU,RJ,Cluster B
ALLIED,TOP SHOPPING NOVA IGUAÇU,,"AV GOVERNADOR ROBERTO SILVEIRA, 540 - PISO 1 (LOJA 134/135)",,,,NOVA IGUAÇU,RJ,Cluster B
MASTERCELL,TUBARAO,,"AV MARCOLINO MARTINS CABRAL, 2525- LOJA SUC 10 - FAROL SHOPPING",,,,TUBARÃO,SC,Cluster C
CS COMERCIO DE ELETRONICOS,UBERABA SHOPPING,,"AV SANTA BEATRIZ DA SILVA, 1501 : SUC 256; CEP: 38020-433 SAO BENEDITO UBERABA MG",,,,UBERABA,MG,Cluster C
ALLIED,VALE SUL SHOPPING,,"AV. ANDRÔMEDA, 227, SUC 206/207, JARDIM SATÉLITE CEP 12230-002",,,,SÃO JOSÉ DOS CAMPOS,SP,Cluster B
ALLIED,VIA BRASIL SHOPPING,,"R ITAPERA, 500 -(LUC) - 382 / 383 - IRAJA, RIO DE JANEIRO - RJ",,,,RIO DE JANEIRO,RJ,Cluster B
B&F TELECOMUNICACOES,VIA PARQUE SHOPPING,,AVENIDA AYRTON SENNA 3000 KSK 25,,,,RIO DE JANEIRO,RJ,Cluster C
B&F TELECOMUNICACOES,VIA VALE GARDEN,,"AVENIDA DOM PEDRO I, 7181 LOJA 20 - PISO L1 - VIA VALE GARDEN SHOPPING JARDIM BARONESA CEP 12091-000 TAUBATE",,,,TAUBATE,SP,Cluster B
INFO STORE COMPUTADORES DA AMAZÔNIA,VIA VERDE SHOPPING,,"EST DA FLORESTA, 2320 - LOJA 20/21/22 1 PISO DO VIA VERDE SHOPPING- CEP: 69912-900 - FLORESTA SUL- RIO BRANCO (AC)",,,,RIO BRANCO,AC,Cluster C
RASTRECALL,VOLTA REDONDA,,"RUA DOZE, 300 QUIOSQUE M209 - VILA SANTA CECÍLIA / VOLTA REDONDA - RJ CEP: 27260-315",,,,VOLTA REDONDA,RJ,Cluster C
ALLIED,WEST SHOPPING RIO DE JANEIRO,,"EST DO MENDANHA, 555 LOJA 182 E 183 CAMPO GRANDE RIO DE JANEIRO RJ",,,,RIO DE JANEIRO,RJ,Cluster B
