Razão Social,Nome Fantasia,CNPJ,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cluster
PRIMETEK,FLAMBOYANT SHOPPING CENTER,,"AV. DEPUTADO JAMEL CECÍLIO, N° 3300 – QD.B-34 LT.2E – LOJA S-258 – JARDIM GOIÁS – CEP 74810-907 – GOIÂNIA – GO.",,,,GOIANIA,GO,Cluster C
ARTE TELECOM,FRANCA SHOPPING,,"AV RIO NEGRO, 1100 LOJA: 410 411 E 412 BAIRRO SÃO MIGUEL",,,,FRANCA,SP,Cluster C
KADRI COMERCIO DE ELETRONICOS,GOIABEIRAS SHOPPING,,"AV GENERAL NEVES, 121 - LOJA 177 SHOPPING CENTER GOIABEIRAS - CEP: 78043-256 DUQUE DE CAXIAS - CUIABÁ MT",,,,CUIABA,MT,Cluster C
MRF,GOIANIA SHOPPING,,"AV T10, 1300, SETOR BUENO - QUADRA A, LOTE 10/18, SALÃO M USO 02, LOJA 163/164 - CEP: 74223-060 -GOIANA (GO)",,,,GOIANIA,GO,Cluster A
RAKE & RAI,IGUATEMI CAXIAS,,"ROD. WASHINGTON LUIS, 2.895, QUIOSQUE Q11, PARQUE DUQUE - DUQUE DE CAXIAS - RJ",,,,CAXIAS DO SUL,RS,Cluster B
NAGEM,IGUATEMI FORTALEZA,,"AV. WASHINGTON SOARES, 85 - ÁGUA FRIA - FORTALEZA - (LOJA 603)",,,,FORTALEZA,CE,Cluster C
RASTRECALL,ILHA PLAZA,,"AV. MAESTRO PAULO E SILVA, 400 (Q SIPE 213B - 2 PISO) CEP: 21920440",,,,RIO DE JANEIRO,RJ,Cluster C
B&F TELECOMUNICACOES,IMPERIAL,,"ROD BR-010, 100, : 12 PISO IMPERIAL SHOPPING; CEP: 65913-460; ENTRONCAMENTO; IMPERATRIZ (MA)",,,,IMPERATRIZ,MA,Cluster B
ARTE TELECOM,INDEPENDENCIA SHOPPING,,"AV PRESIDENTE ITAMAR FRANCO, 3600, LOJA: 155/156 -PISO TERREO; CEP: 36025-971 SAO MATEUS - JUIZ DE FORA (MG)",,,,JUIZ DE FORA,MG,Cluster C
MASTERCELL,ITAGUAÇU,,"R GERONCIO THIVES, 1079 LOJA 257 BAIRRO SÃO BARREIROS SEDE",,,,SÃO JOSÉ,SC,Cluster C
RASTRECALL,ITAGUAI SHOPPING,,"RUA DOUTOR CURVELO CAVALCANTI, 189 ILHA 003 1 PISO - CEP. 23815-291 - CENTRO - ITAGUAI - RJ",,,,ITAGUAI,RJ,Cluster C
MASTERCELL,ITAJAI SHOPPING CENTER,,"RUA SAMUEL HEUSI, 234, QUIOSQUE 07 CEP: 88301-320 CENTRO",,,,ITAJAÍ,SC,Cluster C
MARTINELLO,ITAU POWER SHOPPING,,"AV. GENERAL DAVID SARNOFF, 5160 LOJA 161 1ºPISO CEP 32210-110 BAIRRO CIDADE INDUSTRIAL",,,,CONTAGEM,MG,Cluster C
MRF,JK SHOPPING & TOWER,,"Q QNM 34 AREA ESPECIAL, 01, LOJA 314 2 PAVIMENTO - CEP: 72145-450 - TAGUATINGA - BRASILIA - DF",,,,BRASÍLIA,DF,Cluster B
ATACADÃO DOS ELETRODOMÉSTICOS DO NORDESTE,JOÃO PESSOA,,"AV HILTON SOUTOMAIOR,3901 LOJA P1083/1109 TERREO",,,,JOÃO PESSOA,PB,Cluster C
MASTERCELL,JOINVILLE GARTEN SHOPPING,,"R. ROLF WIEST, 333 LOJA 114 BOM RETIRO CEP 89223-005 - JOINVILLE",,,,JOINVILLE,SC,Cluster C
ALLIED,JUNDIAI SHOPPING,,"AV NOVE DE JULHO, 3333 LOJAS USO COMERCIAL N 162 CEP 13208-056 BAIRRO VIANELO -JUNDIAI- SP",,,,JUNDIAÍ,SP,Cluster B
